Beach Name,County,Lat,Long
Beacon's Beach,San Diego,,
Stone Steps Beach,San Diego,,
Moonlight Beach,San Diego,,
D Street Viewpoint,San Diego,,
Boneyard Beach,San Diego,,
Swamis,San Diego,,
Pipes,San Diego,,
San Elijo State Beach,San Diego,,
Cardiff State Beach,San Diego,,
Tide Beach Park,San Diego,,
Fletcher Cove Park,San Diego,,
Seascape Surf,San Diego,,
Del Mar City Beach,San Diego,,
Torrey Pines State Beach,San Diego,,
Black's Beach,San Diego,,
La Jolla Shores,San Diego,,
La Jolla Cove,San Diego,,
Shell Beach,San Diego,,
Children's Pool Beach,San Diego,,
Marine Street Beach,San Diego,,
Windansea Beach,San Diego,,
La Jolla Strand Park,San Diego,,
Tourmaline Surfing Park,San Diego,,
Pacific Beach,San Diego,,
Mission Beach,San Diego,,
Ocean Beach Park,San Diego,,
Ocean Beach City Beach,San Diego,,
Coronado Municipal Beach,San Diego,,
Silver Strand State Beach,San Diego,,
Imperial Beach,San Diego,,
Border Field State Park,San Diego,,
