beach_id,Beach_Name,Latitude,Longitude,Sunrise,Sunset,Weather_Description,Temperature,Water_Temperature,Cloud_Cover,Wind_Speed,Wave_Height
91,Point Sal State Beach,34.90204849,-120.6548958,06:53 AM,04:50 PM,Cloudy,52,53,71,10,3.3
92,Surf Beach,34.68424954,-120.6064212,06:51 AM,04:52 PM,Partly cloudy,54,53,49,9,3.6
93,Jalama Beach County Park,34.51081204,-120.5018918,06:51 AM,04:52 PM,Partly cloudy,54,53,49,9,3.6
94,Gaviota State Park,34.47353149,-120.2296213,06:49 AM,04:50 PM,Cloudy,53,59,78,4,2.0
95,Refugio State Beach,34.46328972,-120.0701569,06:49 AM,04:50 PM,Cloudy,53,59,78,4,2.0
96,El Capitán State Beach,34.46061439,-120.0248308,06:48 AM,04:49 PM,Overcast,52,59,100,3,1.3
97,Sands Beach,34.407591,-119.879251,06:48 AM,04:49 PM,Overcast,52,59,100,3,1.3
98,Summerland Beach,34.42038268,-119.6024139,06:47 AM,04:48 PM,Patchy rain possible,50,60,100,3,1.0
99,Butterfly Beach,34.4177324,-119.6494454,06:47 AM,04:48 PM,Patchy rain possible,50,60,100,3,1.0
100,Goleta Beach Park,34.41681648,-119.8324352,06:48 AM,04:49 PM,Overcast,52,59,100,3,1.3
101,East Beach,34.41634896,-119.6804242,06:47 AM,04:48 PM,Patchy rain possible,50,60,100,3,1.0
102,West Beach,34.40535704,-119.6973811,06:47 AM,04:48 PM,Patchy rain possible,50,60,100,3,1.0
103,Arroyo Burro Beach,34.4026134,-119.7430753,06:47 AM,04:48 PM,Patchy rain possible,50,60,100,3,1.0
104,Leadbetter Beach,34.40248784,-119.699369,06:47 AM,04:48 PM,Patchy rain possible,50,60,100,3,1.0
105,Carpinteria State Beach,34.39281987,-119.5240894,06:46 AM,04:48 PM,Patchy rain possible,50,60,100,3,1.0
106,Rincon Beach Park,34.3801909,-119.4831245,06:46 AM,04:48 PM,Patchy rain possible,50,60,100,3,1.0
107,Emma Wood State Beach,34.29332738,-119.3400669,06:45 AM,04:47 PM,Overcast,56,60,100,3,2.0
108,San Buenaventura State Beach,34.26991871,-119.2768745,06:45 AM,04:47 PM,Overcast,56,60,100,3,2.0
109,McGrath State Beach,34.2210903,-119.259957,06:45 AM,04:47 PM,Overcast,56,60,100,3,2.0
110,Oxnard Beach Park,34.17672826,-119.2371455,06:45 AM,04:47 PM,Patchy rain possible,56,60,100,3,2.0
111,Silver Strand Beach,34.150945,-119.219362,06:44 AM,04:47 PM,Light rain shower,56,61,100,10,2.0
112,Port Hueneme Beach Park,34.14254714,-119.1960592,06:44 AM,04:47 PM,Light rain shower,56,61,100,10,2.0
113,Topanga Beach,34.038412,-118.582189,06:41 AM,04:45 PM,Overcast,55,62,97,6,1.0
114,County Line Beach,34.051417,-118.9601453,06:44 AM,04:47 PM,Light rain shower,56,61,100,10,2.0
115,Leo Carrillo State Park,34.04417165,-118.9353832,06:44 AM,04:47 PM,Light rain shower,56,61,100,10,2.0
116,El Pescador State Beach,34.04055637,-118.8920206,06:44 AM,04:47 PM,Light rain shower,56,61,100,10,2.0
