beach_id,beach_name,latitude,longitude,sunrise,sunset,weather_description,temperature,water_temperature,cloud_cover,wind_speed,wave_height
17,Black Point Beach,38.686409,-123.432347,6:52:00,17:03:00,Clear,47,52,0,2,2
17,Black Point Beach,38.686409,-123.432347,6:57:00,16:59:00,Clear,51,49,0,4,4.3
17,Black Point Beach,38.686409,-123.432347,6:53:00,17:02:00,Clear,46,53,0,4,5.2
17,Black Point Beach,38.686409,-123.432347,6:54:00,17:01:00,Clear,47,53,0,7,6.2
18,Goat Rock Beach,38.44711794,-123.1265214,7:40:00,18:11:00,Partly cloudy,49,52,13,2,4.9
18,Goat Rock Beach,38.44711794,-123.1265214,6:51:00,17:02:00,Clear,48,49,0,2,1.6
18,Goat Rock Beach,38.44711794,-123.1265214,6:55:00,16:59:00,Clear,51,49,0,3,3.3
18,Goat Rock Beach,38.44711794,-123.1265214,6:52:00,17:01:00,Clear,47,53,0,2,3.6
18,Goat Rock Beach,38.44711794,-123.1265214,6:53:00,17:00:00,Clear,46,53,0,4,4.6
19,Blind Beach,38.43699972,-123.1223772,7:40:00,18:11:00,Partly cloudy,49,52,13,2,4.9
19,Blind Beach,38.43699972,-123.1223772,6:51:00,17:02:00,Clear,48,49,0,2,1.6
19,Blind Beach,38.43699972,-123.1223772,6:55:00,16:59:00,Clear,51,49,0,3,3.3
19,Blind Beach,38.43699972,-123.1223772,6:52:00,17:01:00,Clear,47,53,0,2,3.6
19,Blind Beach,38.43699972,-123.1223772,6:53:00,17:00:00,Clear,46,53,0,4,4.6
20,Shell Beach,38.417464,-123.105601,7:41:00,18:12:00,Partly cloudy,46,52,19,1,4.9
20,Shell Beach,38.417464,-123.105601,6:52:00,17:02:00,Clear,44,53,0,2,1.6
20,Shell Beach,38.417464,-123.105601,6:56:00,16:59:00,Clear,49,49,0,3,3.3
20,Shell Beach,38.417464,-123.105601,6:53:00,17:01:00,Clear,44,53,0,2,3.6
20,Shell Beach,38.417464,-123.105601,6:54:00,17:01:00,Clear,44,53,0,4,4.6
21,Wrights Beach,38.40033248,-123.0969266,7:40:00,18:11:00,Partly cloudy,49,52,13,2,4.9
21,Wrights Beach,38.40033248,-123.0969266,6:51:00,17:02:00,Clear,48,49,0,2,1.6
21,Wrights Beach,38.40033248,-123.0969266,6:55:00,16:59:00,Clear,51,49,0,3,3.3
21,Wrights Beach,38.40033248,-123.0969266,6:52:00,17:01:00,Clear,47,53,0,2,3.6
21,Wrights Beach,38.40033248,-123.0969266,6:53:00,17:00:00,Clear,46,53,0,4,4.6
22,Gleason Beach,38.39010789,-123.0857298,7:40:00,18:11:00,Partly cloudy,49,52,13,2,4.9
22,Gleason Beach,38.39010789,-123.0857298,6:51:00,17:02:00,Clear,48,49,0,2,1.6
22,Gleason Beach,38.39010789,-123.0857298,6:55:00,16:59:00,Clear,51,49,0,3,3.3
22,Gleason Beach,38.39010789,-123.0857298,6:52:00,17:01:00,Clear,47,53,0,2,3.6
22,Gleason Beach,38.39010789,-123.0857298,6:53:00,17:00:00,Clear,46,53,0,4,4.6
23,Schoolhouse Beach,38.37626954,-123.0786946,7:40:00,18:11:00,Partly cloudy,49,52,13,2,4.9
23,Schoolhouse Beach,38.37626954,-123.0786946,6:51:00,17:02:00,Clear,48,49,0,2,1.6
23,Schoolhouse Beach,38.37626954,-123.0786946,6:55:00,16:59:00,Clear,51,49,0,3,3.3
23,Schoolhouse Beach,38.37626954,-123.0786946,6:52:00,17:01:00,Clear,47,53,0,2,3.6
23,Schoolhouse Beach,38.37626954,-123.0786946,6:53:00,17:00:00,Clear,46,53,0,4,4.6
24,Carmet Beach,38.37254912,-123.0762862,7:40:00,18:11:00,Partly cloudy,49,52,13,2,4.9
24,Carmet Beach,38.37254912,-123.0762862,6:51:00,17:02:00,Clear,48,49,0,2,1.6
24,Carmet Beach,38.37254912,-123.0762862,6:55:00,16:59:00,Clear,51,49,0,3,3.3
24,Carmet Beach,38.37254912,-123.0762862,6:52:00,17:01:00,Clear,47,53,0,2,3.6
24,Carmet Beach,38.37254912,-123.0762862,6:53:00,17:00:00,Clear,46,53,0,4,4.6
25,Arched Rock Beach,38.36725878,-123.0726081,7:40:00,18:11:00,Partly cloudy,49,52,13,2,4.9
25,Arched Rock Beach,38.36725878,-123.0726081,6:51:00,17:02:00,Clear,48,49,0,2,1.6
25,Arched Rock Beach,38.36725878,-123.0726081,6:55:00,16:59:00,Clear,51,49,0,3,3.3
25,Arched Rock Beach,38.36725878,-123.0726081,6:52:00,17:01:00,Clear,47,53,0,2,3.6
25,Arched Rock Beach,38.36725878,-123.0726081,6:53:00,17:00:00,Clear,46,53,0,4,4.6
26,Coleman Beach,38.36596694,-123.0714996,7:40:00,18:11:00,Partly cloudy,49,52,13,2,4.9
26,Coleman Beach,38.36596694,-123.0714996,6:51:00,17:02:00,Clear,48,49,0,2,1.6
26,Coleman Beach,38.36596694,-123.0714996,6:55:00,16:59:00,Clear,51,49,0,3,3.3
26,Coleman Beach,38.36596694,-123.0714996,6:52:00,17:01:00,Clear,47,53,0,2,3.6
26,Coleman Beach,38.36596694,-123.0714996,6:53:00,17:00:00,Clear,46,53,0,4,4.6
27,Miwok Beach,38.36111029,-123.0691915,7:40:00,18:11:00,Partly cloudy,49,52,13,2,4.9
27,Miwok Beach,38.36111029,-123.0691915,6:51:00,17:02:00,Clear,48,49,0,2,1.6
27,Miwok Beach,38.36111029,-123.0691915,6:55:00,16:59:00,Clear,51,49,0,3,3.3
27,Miwok Beach,38.36111029,-123.0691915,6:52:00,17:01:00,Clear,47,53,0,2,3.6
27,Miwok Beach,38.36111029,-123.0691915,6:53:00,17:00:00,Clear,46,53,0,4,4.6
28,North Salmon Creek Beach,38.35991175,-123.0687585,7:40:00,18:11:00,Partly cloudy,49,52,13,2,4.9
28,North Salmon Creek Beach,38.35991175,-123.0687585,6:51:00,17:02:00,Clear,48,49,0,2,1.6
28,North Salmon Creek Beach,38.35991175,-123.0687585,6:55:00,16:59:00,Clear,51,49,0,3,3.3
28,North Salmon Creek Beach,38.35991175,-123.0687585,6:52:00,17:01:00,Clear,47,53,0,2,3.6
28,North Salmon Creek Beach,38.35991175,-123.0687585,6:53:00,17:00:00,Clear,46,53,0,4,4.6
29,South Salmon Creek Beach,38.33989879,-123.0684011,7:40:00,18:11:00,Partly cloudy,49,52,13,2,4.9
29,South Salmon Creek Beach,38.33989879,-123.0684011,6:51:00,17:02:00,Clear,48,49,0,2,1.6
29,South Salmon Creek Beach,38.33989879,-123.0684011,6:55:00,16:59:00,Clear,51,49,0,3,3.3
29,South Salmon Creek Beach,38.33989879,-123.0684011,6:52:00,17:01:00,Clear,47,53,0,2,3.6
29,South Salmon Creek Beach,38.33989879,-123.0684011,6:53:00,17:00:00,Clear,46,53,0,4,4.6
30,Doran Beach,38.31450636,-123.0443867,7:40:00,18:11:00,Partly cloudy,51,49,12,4,5.9
30,Doran Beach,38.31450636,-123.0443867,6:50:00,17:02:00,Clear,49,50,0,6,1.6
30,Doran Beach,38.31450636,-123.0443867,6:55:00,16:59:00,Clear,50,50,0,5,3.6
30,Doran Beach,38.31450636,-123.0443867,6:52:00,17:01:00,Clear,46,53,0,3,3.9
30,Doran Beach,38.31450636,-123.0443867,6:53:00,17:00:00,Clear,46,53,0,5,4.9
31,Dillon beach,38.25058272,-122.9669146,7:40:00,18:11:00,Partly cloudy,51,49,12,4,5.9
31,Dillon beach,38.25058272,-122.9669146,6:50:00,17:02:00,Clear,49,50,0,6,1.6
31,Dillon beach,38.25058272,-122.9669146,6:54:00,16:59:00,Clear,50,50,0,5,3.6
31,Dillon beach,38.25058272,-122.9669146,6:51:00,17:01:00,Clear,46,53,0,3,3.9
31,Dillon beach,38.25058272,-122.9669146,6:52:00,17:00:00,Clear,46,53,0,5,4.9
32,Point Reyes Beach,38.082153,-122.972819,7:39:00,18:11:00,Partly cloudy,53,50,12,9,6.9
32,Point Reyes Beach,38.082153,-122.972819,6:49:00,17:02:00,Clear,52,50,0,6,2
32,Point Reyes Beach,38.082153,-122.972819,6:53:00,16:59:00,Clear,53,51,0,6,3.9
32,Point Reyes Beach,38.082153,-122.972819,6:50:00,17:01:00,Clear,50,50,0,5,4.6
32,Point Reyes Beach,38.082153,-122.972819,6:51:00,17:00:00,Clear,50,50,0,8,5.6
33,Stinson Beach Park,37.89914093,-122.6457161,7:38:00,18:10:00,Partly cloudy,53,51,13,9,3.9
33,Stinson Beach Park,37.89914093,-122.6457161,6:48:00,17:01:00,Clear,52,51,0,11,1.3
33,Stinson Beach Park,37.89914093,-122.6457161,6:52:00,16:58:00,Clear,53,52,0,9,2.3
33,Stinson Beach Park,37.89914093,-122.6457161,6:49:00,17:00:00,Clear,50,55,0,8,2.3
33,Stinson Beach Park,37.89914093,-122.6457161,6:50:00,17:00:00,Clear,50,55,0,7,3.3
34,Muir Beach,37.859424,-122.576835,7:37:00,18:10:00,Patchy rain possible,53,51,85,9,3.9
34,Muir Beach,37.859424,-122.576835,6:48:00,17:01:00,Clear,52,51,0,11,1.3
34,Muir Beach,37.859424,-122.576835,6:52:00,16:58:00,Clear,53,52,0,9,2.3
34,Muir Beach,37.859424,-122.576835,6:49:00,17:00:00,Clear,50,55,0,8,2.3
34,Muir Beach,37.859424,-122.576835,6:50:00,17:00:00,Clear,50,55,0,7,3.3
35,Rodeo Beach,37.83175951,-122.5385814,7:37:00,18:10:00,Partly cloudy,53,51,13,9,3.9
35,Rodeo Beach,37.83175951,-122.5385814,6:47:00,17:01:00,Clear,52,51,0,11,1.3
35,Rodeo Beach,37.83175951,-122.5385814,6:52:00,16:58:00,Clear,53,52,0,9,2.3
35,Rodeo Beach,37.83175951,-122.5385814,6:48:00,17:00:00,Clear,50,55,0,8,2.3
35,Rodeo Beach,37.83175951,-122.5385814,6:49:00,16:59:00,Clear,50,55,0,7,3.3
36,Marshall's Beach,37.80212595,-122.4800495,7:37:00,18:10:00,Partly cloudy,53,51,13,9,3.9
36,Marshall's Beach,37.80212595,-122.4800495,6:47:00,17:01:00,Clear,52,51,0,11,1.3
36,Marshall's Beach,37.80212595,-122.4800495,6:51:00,16:58:00,Clear,53,52,0,9,2.3
36,Marshall's Beach,37.80212595,-122.4800495,6:48:00,17:00:00,Clear,50,55,0,8,2.3
36,Marshall's Beach,37.80212595,-122.4800495,6:49:00,16:59:00,Clear,50,55,0,7,3.3
37,Baker Beach,37.79389403,-122.4837904,7:37:00,18:10:00,Partly cloudy,53,51,13,9,3.9
37,Baker Beach,37.79389403,-122.4837904,6:47:00,17:01:00,Clear,52,51,0,11,1.3
37,Baker Beach,37.79389403,-122.4837904,6:51:00,16:58:00,Clear,53,52,0,9,2.3
37,Baker Beach,37.79389403,-122.4837904,6:48:00,17:00:00,Clear,50,55,0,8,2.3
37,Baker Beach,37.79389403,-122.4837904,6:49:00,16:59:00,Clear,50,55,0,7,3.3
38,Lands End Beach,37.78765857,-122.5061247,7:37:00,18:10:00,Patchy rain possible,53,51,81,9,3.9
38,Lands End Beach,37.78765857,-122.5061247,6:47:00,17:01:00,Clear,52,51,0,11,1.3
38,Lands End Beach,37.78765857,-122.5061247,6:52:00,16:58:00,Clear,53,52,0,9,2.3
38,Lands End Beach,37.78765857,-122.5061247,6:48:00,17:00:00,Clear,50,55,0,8,2.3
38,Lands End Beach,37.78765857,-122.5061247,6:49:00,16:59:00,Clear,50,55,0,7,3.3
39,Ocean Beach (SF),37.759369,-122.511772,7:37:00,18:10:00,Partly cloudy,53,51,13,9,3.9
39,Ocean Beach (SF),37.759369,-122.511772,6:47:00,17:01:00,Clear,52,51,0,11,1.3
39,Ocean Beach (SF),37.759369,-122.511772,6:52:00,16:58:00,Clear,53,52,0,9,2.3
39,Ocean Beach (SF),37.759369,-122.511772,6:48:00,17:00:00,Clear,50,55,0,8,2.3
39,Ocean Beach (SF),37.759369,-122.511772,6:49:00,16:59:00,Clear,50,55,0,7,3.3
40,Funston Beach,37.71968785,-122.5028803,7:37:00,18:10:00,Patchy rain possible,53,51,77,9,3.9
40,Funston Beach,37.71968785,-122.5028803,6:47:00,17:01:00,Clear,52,51,0,11,1.3
40,Funston Beach,37.71968785,-122.5028803,6:51:00,16:58:00,Clear,53,52,0,9,2.3
40,Funston Beach,37.71968785,-122.5028803,6:48:00,17:00:00,Clear,50,55,0,8,2.3
